Name	Pop 2007	2006	2005	2004	2003	2002	2000	Area (dunums)
East Talpiot	12,241	12,078	12,158	12,238	12,439	12,591	12,845	1,195
Gilo	27,087	27,173	27,258	27,309	27,425	27,569	27,637	2,859
Giv'at Ha-Matos and Har Homa	7,545	6,040	4,604	3,354	2,152	1,125	763	310/2,523
Giv'at Ha-Mivtar	2,860	2,901	2,912	2,959	2,958	2,948	2,912	588
Giv'at Shapira (French Hill)	6,897	6,724	6,589	6,630	6,628	6,631	8,193	2,018
Har Ha-Hozvim (industrial zone)	N/A	N/A	N/A	N/A	1,246	1,236	-	653
Ma'alot Dafna, Kiryat Arye	3,735	3,765	3,675	3,647	3,664	3,617	3,645	380
Neve Ya'akov	20,230	20,149	20,156	20,218	20,306	20,250	20,288	1,759
Old City-Jewish Quarter	2,555	2,546	2,476	2,451	2,387	2,348	2,279	122
Pisgat Ze'ev	41,882	41,653	41,208	40,665	39,747	38,684	36,469	5,467
Ramat Eshkol	3,316	3,299	3,252	3,180	3,123	3,046	2,917	397
Ramat Shlomo	14,911	14,658	14,318	13,888	13,390	12,822	11,348	1,126
Ramot Allon	41,448	40,837	40,367	40,027	39,383	38,992	37,934	4,979
Sanhedriyya Ha-Murhevet	5,001	5,034	5,084	5,021	4,999	4,994	5,018	378
