Name	2008	2007	2006	2005	2004	2003	2002	2001	2000	1999	Date Established	Region
Adora	248	248	220	206	186	191	205	253	271	291	1983	Mount Hebron
Alei Zahav	851	772	723	684	429	424	414	408	391	355	1982	Samaria
Alfei Menashe	6633	6164	5826	5541	5433	5347	5250	5000	4580	4410	1983	Samaria
Allon Shevut	3298	3291	3300	3291	3229	3146	3030	2880	2680	2230	1970	Etzion Bloc
Almog	197	188	192	159	142	141	155	159	167	156	1977	Jordan Valley
Almon	925	854	808	762	739	726	721	706	698	672	1982	Benjamin
Argaman	166	170	166	166	166	169	167	160	164	155	1968	Jordan Valley
Ariel	16716	16613	16432	16520	16414	16503	16300	16000	15600	15100	1978	Samaria
Asfar (Metzad)	253	263	257	258	275	232	218	308	361	356	1984	Mount Hebron
Ateret	469	438	406	373	350	349	320	307	302	287	1981	Benjamin
Avnei Hefetz	1357	1328	1247	1127	1038	964	891	838	785	695	N/A	Samaria
Barkan	1317	1267	1257	1231	1215	1217	1200	1160	1150	1080	1981	Samaria
Bat Ayin	950	906	866	804	796	767	685	665	610	572	1989	Samaria
Beit Arye	3767	3606	3502	3457	3446	2522	2480	2410	2380	2330	1981	Samaria
Beit El	5413	5288	5163	4967	4763	4627	4410	4240	4120	3800	1977	Benjamin
Beit ha'Arava	96	102	87	83	69	54	52	59	55	45	1980	Jordan Valley
Beit Horon	1034	979	900	848	825	822	826	822	772	720	1977	Benjamin
Benjamin	-	-	-	-	-	-	-	-	-	-	
Beqa'ot	173	175	177	156	152	145	147	153	144	144	1972	Jordan Valley
Betar 'Illit	34829	32182	29126	26996	24895	22926	20200	17300	15800	12700	1985	Etzion Bloc
Bitronot (Nahal)	-	-	-	-	-	-	-	-	-	1984	Jordan Valley
Bracha	1364	1275	1182	1094	-	880	817	783	752	714	1982	Samaria
Dolev	1230	1154	1100	1034	963	973	909	907	880	850	1983	Benjamin
Doran	-	-	-	-	-	-	-	-	-	1982	Mount Hebron
Efrat	8167	8015	7714	7428	7273	7037	6810	6500	6430	6230	1980	Etzion Bloc
El'azar	1706	1547	1314	1131	993	882	796	789	784	747	1975	Etzion Bloc
Eli	2771	2625	2530	2420	2308	2058	1960	1830	1900	1730	1984	Samaria
Elisha (Nahal)	-	-	-	-	-	-	-	-	753	N/A	1983	Jordan Valley
Elkana	3098	3000	2968	2963	2983	3050	3030	3030	2990	2940	1977	Samaria
Elon Moreh	1315	1322	1314	1212	1152	1097	1060	1030	1060	1050	1979	Samaria
Emmanuel	2890	2775	2678	2583	2585	2455	2350	2700	3040	3150	1982	Samaria
En Hogla	-	-	-	-	-	-	-	-	-	-	1982	Jodan Valley
Enav	568	569	571	538	468	473	492	498	500	504	1981	Samaria
Eshkolot	518	229	225	225	231	220	220	209	171	148	1982	Mount Hebron
Etz Efrayim	716	704	679	642	627	617	606	575	525	500	1985	Samaria
Gannim	0	0	0	0	147	139	147	152	158	149	1983	Samaria
Geva Binyamin (Adam)	3731	3574	3183	2436	2032	1801	1570	1300	1020	707	1983	Benjamin
Geva'ot	-	-	-	-	-	-	-	-	-	-	1984	Etzion Bloc
Gilgal	140	148	162	164	164	162	161	171	180	164	1970	Jordan Valley
Gittit	231	214	214	191	161	119	95	102	100	109	1973	Jordan Valley
Giv'at Ze'ev	11063	10873	10796	10656	10635	10790	10600	10500	10300	10000	1982	Benjamin
Giv'on haHadasha	1166	1192	1181	1147	1179	1224	1220	1220	1190	1180	1980	Benjamin
Hagai	552	545	477	452	429	388	374	396	406	405	1984	Mount Hebron
Hallamish	981	956	975	941	931	915	895	894	922	1100	1977	Benjamin
Hamra	111	119	132	132	125	131	136	143	147	149	1971	Jordan Valley
Har Adar (Giv'at HaRadar)	3115	2743	2438	2260	2074	1839	1730	1570	1420	1380	1986	Benjamin
Har Gilo	479	462	415	381	371	365	357	364	369	363	1972	Etzion Bloc
Hashmona'im	2591	2506	2359	2225	2235	2097	1950	-	1830	1770	1985	Benjamin
Hebron	-	-	-	-	-	-	-	-	-	-	1980	
Hemdat (Nahal)	163	163	147	140	120	107	92	74	-	N/A	1980	Jordan Valley
Hermesh	210	201	202	212	229	229	246	256	279	272	1982	Samaria
Hinnanit	864	811	779	760	707	669	639	591	481	432	1981	Samaria
Homesh	0	0	0	0	181	156	153	136	159	163	1980	Samaria
Itamar	785	750	698	651	600	557	534	562	541	511	1984	Samaria
Kaddim	0	0	0	0	142	128	125	133	148	138	1983	Samaria
Kalya	281	274	266	271	260	260	257	264	260	262	1968	Jordan Valley
Karmei Zur	757	729	696	713	665	623	579	504	481	422	1984	Etzion Bloc
Karmel	392	378	357	330	319	321	301	280	246	252	1981	Mount Hebron
Karne Shomron	6559	6439	6333	6280	6170	6093	6100	6040	5890	5590	1978	Samaria
Kedar	852	801	782	728	658	624	585	538	447	393	1984	Benjamin
Kedumim	3463	3382	3208	3087	3010	2934	2800	2700	2660	2540	1975	Samaria
Kfar Adummim	2686	2542	2312	2127	2006	1866	1790	1750	1690	1590	1979	Benjamin
Kfar Etzion	476	455	448	422	416	404	408	402	427	421	1967	Etzion Bloc
Kfar Tapuah	867	798	721	648	593	523	446	387	347	352	1978	Samaria
Kiryat Arba'	7226	7039	6958	6819	6651	6605	6580	6400	6380	6240	1972	Mount Hebron
Kiryat Netafim	545	479	472	438	419	384	344	306	249	240	1982	Samaria
Kokhav haShahar	1690	1619	1530	1449	1365	1367	1300	1250	1150	1080	1977	Benjamin
Kokhav Ya'acov (Abir Ya'acov)	5926	5627	5268	4919	4389	3819	3250	2410	1640	1260	1984	Benjamin
Lapid	2344	2343	2265	2300	2200	2176	2110	-	-	-	N/A	Benjamin
Ma'ale Adummim	33821	33019	31754	30162	28923	27259	26500	25800	24900	23800	1975	Benjamin
Ma'ale Amos	348	326	344	340	319	299	258	300	336	342	1981	Etzion Bloc
Ma'ale Efrayim	1390	1377	1384	1423	1456	1443	1430	1390	1480	1460	1970	Jordan Valley
Ma'ale Levona	584	559	556	545	514	497	462	442	445	447	1983	Benjamin
Ma'ale Mikhmas	1261	1299	1184	1126	1055	980	945	905	826	753	1981	Benjamin
Ma'ale Shomron	582	577	570	574	549	533	527	504	527	486	1980	Samaria
Mahane Giv'on	-	-	-	-	-	-	-	-	-	-	1977	Benjamin
Ma'on	417	381	370	347	308	327	320	300	283	265	1981	Mount Hebron
Maskiyyot	-	-	-	-	-	-	-	-	507	N/A	1987	Jordan Valley
Massu'a	143	136	142	136	140	145	142	143	148	140	1970	Jordan Valley
Mattityahu	1382	1371	1355	1353	1347	1365	1380	1370	1380	1410	1981	Benjamin
Mehola	373	357	351	362	360	327	311	342	306	315	1968	Jordan Valley
Mekhora	117	112	114	120	119	125	119	119	113	120	1973	Jordan Valley
Menora (Kfar Haoranim)	2172	2028	1917	1804	1610	1409	1240	971	768	332	1998	Jordan Valley
Mevo Dotan	313	315	311	303	287	289	279	295	310	314	1978	Samaria
Mevo Horon	1327	1169	1037	950	827	712	599	537	497	494	1970	Benjamin
Mezadot Yehuda	469	474	462	431	425	412	420	417	422	412	1980	Mount Hebron
Migdal Oz	347	332	345	334	313	298	268	282	289	280	1977	Etzion Bloc
Migdalim	138	139	142	150	151	152	143	153	154	150	1984	Samaria
Mizpe Shalem	172	171	169	180	192	193	191	207	210	208	1971	Megilot
Mizpe Yeriho	1792	1701	1641	1536	1469	1430	1370	1310	1210	1160	1978	Benjamin
Modi'in Ilit	41869	38047	34482	30484	27386	24290	22000	19200	16400	13000	1981	
Na'aleh	749	710	655	623	600	556	492	334	137	105	1981	Benjamin
